Market,Time Zone,Open,Close,Sat Open,Sat Close,Year,Month,NDay,Day,Hour,Order Management Interactions,Order Management HT (hr),Orders,Analog,Digital,Occur Int,Occur Ord
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,10:00:00.000,221,68.756074247,64,45,19,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,11:00:00.000,212,61.515993711,59,41,18,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,12:00:00.000,200,59.408329024,61,41,20,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,13:00:00.000,243,75.514127812,73,56,17,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,14:00:00.000,187,70.908494412,58,48,10,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,15:00:00.000,122,33.986734876,39,28,11,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,16:00:00.000,38,7.160554384,24,17,7,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,18:00:00.000,,,2,0,2,,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,19:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,2,Tuesday,21:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,04:00:00.000,,,13,0,13,,3
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,05:00:00.000,57,10.054035406,11,11,0,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,06:00:00.000,112,26.887095836,23,16,7,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,07:00:00.000,185,48.259473122,59,44,15,5,5
